layer,strip,end,multiplier
1,0,0,17
1,1,0,14
1,2,0,16
1,3,0,15
1,4,0,10
1,5,0,12
1,6,0,12
1,7,0,9
2,0,0,17
2,1,0,17
2,2,0,15
2,3,0,12
2,4,0,14
2,5,0,15
2,6,0,13
2,7,0,10
3,0,0,12
3,1,0,12
3,2,0,8
3,3,0,10
3,4,0,12
3,5,0,14
3,6,0,16
3,7,0,8
4,0,0,12
4,1,0,12
4,2,0,10
4,3,0,8
4,4,0,8
4,5,0,10
4,6,0,11
4,7,0,12
5,0,0,22
5,1,0,18
5,2,0,20
5,3,0,22
5,4,0,15
5,5,0,21
5,6,0,20
5,7,0,30
6,0,0,10
6,1,0,21
6,2,0,21
6,3,0,19
6,4,0,19
6,5,0,19
6,6,0,19
6,7,0,19
7,0,0,11
7,1,0,8
7,2,0,15
7,3,0,10
7,4,0,10
7,5,0,8
7,6,0,8
7,7,0,14
8,0,0,16
8,1,0,10
8,2,0,12
8,3,0,12
8,4,0,8
8,5,0,8
8,6,0,10
8,7,0,10
9,0,0,10
9,1,0,10
9,2,0,10
9,3,0,12
9,4,0,16
9,5,0,15
9,6,0,14
9,7,0,16
10,0,0,8
10,1,0,14
10,2,0,10
10,3,0,10
10,4,0,12
10,5,0,10
10,6,0,10
10,7,0,12
10,8,0,12
10,9,0,14
10,10,0,10
10,11,0,14
11,0,0,12
11,1,0,10
11,2,0,16
11,3,0,10
11,4,0,10
11,5,0,10
11,6,0,10
11,7,0,10
11,8,0,10
11,9,0,10
11,10,0,14
11,11,0,10
1,0,1,8
1,1,1,16
1,2,1,16
1,3,1,8
1,4,1,12
1,5,1,12
1,6,1,8
1,7,1,9
2,0,1,19
2,1,1,17
2,2,1,15
2,3,1,10
2,4,1,17
2,5,1,20
2,6,1,13
2,7,1,10
3,0,1,14
3,1,1,10
3,2,1,8
3,3,1,12
3,4,1,10
3,5,1,12
3,6,1,16
3,7,1,8
4,0,1,8
4,1,1,8
4,2,1,10
4,3,1,10
4,4,1,10
4,5,1,10
4,6,1,11
4,7,1,12
5,0,1,22
5,1,1,22
5,2,1,22
5,3,1,22
5,4,1,17
5,5,1,21
5,6,1,20
5,7,1,25
6,0,1,15
6,1,1,21
6,2,1,17
6,3,1,19
6,4,1,19
6,5,1,19
6,6,1,21
6,7,1,18
7,0,1,11
7,1,1,8
7,2,1,15
7,3,1,12
7,4,1,10
7,5,1,16
7,6,1,6
7,7,1,12
8,0,1,14
8,1,1,10
8,2,1,12
8,3,1,16
8,4,1,10
8,5,1,16
8,6,1,15
8,7,1,12
9,0,1,16
9,1,1,10
9,2,1,10
9,3,1,12
9,4,1,14
9,5,1,17
9,6,1,16
9,7,1,14
10,0,1,12
10,1,1,12
10,2,1,10
10,3,1,12
10,4,1,14
10,5,1,20
10,6,1,10
10,7,1,8
10,8,1,10
10,9,1,14
10,10,1,10
10,11,1,12
11,0,1,10
11,1,1,10
11,2,1,14
11,3,1,10
11,4,1,10
11,5,1,8
11,6,1,8
11,7,1,10
11,8,1,10
11,9,1,16
11,10,1,18
11,11,1,10
